dataset,setting,seed,method,adaptive_min_edges,best_val,test_at_best_val,macro_f1,macro_f1_at_best_val,best_observed_test,final_test,train_comm,inference_comm,peer_to_peer_comm,global_readout_comm,total_comm,protocol_type,label_protocol,training_protocol,validation_protocol,validation_evaluator,active_party_id,passive_label_access,local_training_labels,validation_label_protocol,topology_evaluator,local_training_protocol,validation_split_mode,topology_val_fraction,topology_val_count,selection_val_count,topology_objective,joint_lambda,active_readout_acc,local_post_consensus_mean_acc,active_party_post_consensus_acc,local_worst_acc,local_best_acc,dropout_protocol,dropout_rate,dropout_seed,remaining_parties,dropped_party_ids,test_acc_after_dropout,local_post_consensus_acc_after_dropout,num_edges,peer_comm,readout_comm,control_plane_comm,final_edges,topology_update_comm,topology_eval_count,topology_update_time,useful_useful_edges,useful_noisy_edges,noisy_noisy_edges,selected_edges,useful_party_mask,party_view_names,party_reliabilities,party_permutation,prediction_cache_path,prediction_cache_fingerprint,K,method_label,connected_components,largest_component_size,mean_component_size_nonisolated,graph_diameter,reachable_1hop,reachable_Khop,multihop_gain_fraction
ACM,hard,42,topk_reliability_vote,5,0.8692052960395813,0.8451400399208069,0.8450327839801525,0.8450327839801525,0.874794065952301,0.8714991807937622,0,0,0,45375,45375,global_diagnostic,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,604,604,active,0.5,0.8451400399208069,0.424382201830546,0.3739703595638275,0.3080724775791168,0.8171334266662598,none,0.0,0,15,[],-1.0,-1.0,0,0,45375,0,0,0,0,0.0,0,0,0,[],"[false, false, true, false, false, false, true, false, true, false, false, false, false, false, false]","[""RANDOM"", ""RANDOM"", ""PSP"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""KNN"", ""RANDOM"", ""PAP"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM""]","[0.3460264801979065, 0.33278146386146545, 0.695364236831665, 0.33112582564353943, 0.3526490032672882, 0.3592715263366699, 0.7764900922775269, 0.3460264801979065, 0.809602677822113, 0.36589404940605164, 0.3460264801979065, 0.3360927104949951, 0.3344370722770691, 0.33774834871292114, 0.3294701874256134]","[9, 12, 1, 13, 3, 8, 2, 4, 0, 11, 6, 10, 14, 5, 7]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\core_cache_v2\acm_hard_useful3_seed42_party_preds.pt,6cc21828a72da96ee6d41054c060e412e11d5d7c25af6103d3c45ace5829a8dc,1,Global Top-k,15.0,1.0,0.0,,1.0,1.0,0.0
ACM,hard,42,full_mesh,5,0.809602677822113,0.7627677321434021,0.7635599816308171,0.7635599816308171,0.8006590008735657,0.7858319878578186,0,1905750,1905750,136125,2041875,peer_to_peer_topology,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,604,604,active,0.5,0.7627677321434021,0.4344865441322326,0.3690280020236969,0.3097199201583862,0.813838541507721,none,0.0,0,15,[],-1.0,-1.0,105,1905750,136125,0,105,0,0,0.0,3,36,66,"[[0,1],[0,2],[0,3],[0,4],[0,5],[0,6],[0,7],[0,8],[0,9],[0,10],[0,11],[0,12],[0,13],[0,14],[1,2],[1,3],[1,4],[1,5],[1,6],[1,7],[1,8],[1,9],[1,10],[1,11],[1,12],[1,13],[1,14],[2,3],[2,4],[2,5],[2,6],[2,7],[2,8],[2,9],[2,10],[2,11],[2,12],[2,13],[2,14],[3,4],[3,5],[3,6],[3,7],[3,8],[3,9],[3,10],[3,11],[3,12],[3,13],[3,14],[4,5],[4,6],[4,7],[4,8],[4,9],[4,10],[4,11],[4,12],[4,13],[4,14],[5,6],[5,7],[5,8],[5,9],[5,10],[5,11],[5,12],[5,13],[5,14],[6,7],[6,8],[6,9],[6,10],[6,11],[6,12],[6,13],[6,14],[7,8],[7,9],[7,10],[7,11],[7,12],[7,13],[7,14],[8,9],[8,10],[8,11],[8,12],[8,13],[8,14],[9,10],[9,11],[9,12],[9,13],[9,14],[10,11],[10,12],[10,13],[10,14],[11,12],[11,13],[11,14],[12,13],[12,14],[13,14]]","[false, false, true, false, false, false, true, false, true, false, false, false, false, false, false]","[""RANDOM"", ""RANDOM"", ""PSP"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""KNN"", ""RANDOM"", ""PAP"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM""]","[0.3460264801979065, 0.33278146386146545, 0.695364236831665, 0.33112582564353943, 0.3526490032672882, 0.3592715263366699, 0.7764900922775269, 0.3460264801979065, 0.809602677822113, 0.36589404940605164, 0.3460264801979065, 0.3360927104949951, 0.3344370722770691, 0.33774834871292114, 0.3294701874256134]","[9, 12, 1, 13, 3, 8, 2, 4, 0, 11, 6, 10, 14, 5, 7]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\core_cache_v2\acm_hard_useful3_seed42_party_preds.pt,6cc21828a72da96ee6d41054c060e412e11d5d7c25af6103d3c45ace5829a8dc,1,Full Mesh,1.0,15.0,15.0,1.0,15.0,15.0,0.0
ACM,hard,42,adaptive_pair,5,0.8129138946533203,0.7693575024604797,0.7688261006562666,0.7688261006562666,0.8023064136505127,0.7841845154762268,0,254100,254100,127050,381150,peer_to_peer_topology,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,604,604,active,0.5,0.7693575024604797,0.4404173533121744,0.3574958741664886,0.304777592420578,0.8698517084121704,none,0.0,0,15,[],-1.0,-1.0,14,254100,127050,407700,14,407700,0,0.6310082000127295,3,0,11,"[[0,1],[0,13],[1,3],[2,6],[2,8],[3,11],[4,10],[4,13],[5,10],[5,14],[6,8],[7,9],[7,14],[9,11]]","[false, false, true, false, false, false, true, false, true, false, false, false, false, false, false]","[""RANDOM"", ""RANDOM"", ""PSP"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""KNN"", ""RANDOM"", ""PAP"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM""]","[0.3460264801979065, 0.33278146386146545, 0.695364236831665, 0.33112582564353943, 0.3526490032672882, 0.3592715263366699, 0.7764900922775269, 0.3460264801979065, 0.809602677822113, 0.36589404940605164, 0.3460264801979065, 0.3360927104949951, 0.3344370722770691, 0.33774834871292114, 0.3294701874256134]","[9, 12, 1, 13, 3, 8, 2, 4, 0, 11, 6, 10, 14, 5, 7]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\core_cache_v2\acm_hard_useful3_seed42_party_preds.pt,6cc21828a72da96ee6d41054c060e412e11d5d7c25af6103d3c45ace5829a8dc,1,Adaptive Pairwise,3.0,11.0,7.0,5.0,2.8666666666666667,2.8666666666666667,0.0
ACM,hard,42,adaptive_complementarity,5,0.8112582564353943,0.7841845154762268,0.7822905525846703,0.7822905525846703,0.8006590008735657,0.7841845154762268,0,254100,254100,127050,381150,peer_to_peer_topology,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,604,604,active,0.5,0.7841845154762268,0.4405271808306376,0.3789126873016357,0.311367392539978,0.8649094104766846,none,0.0,0,15,[],-1.0,-1.0,14,254100,127050,407700,14,407700,0,0.5928423000004841,3,0,11,"[[0,7],[0,10],[1,3],[1,13],[2,6],[2,8],[3,11],[4,9],[4,14],[5,10],[5,11],[6,8],[7,9],[13,14]]","[false, false, true, false, false, false, true, false, true, false, false, false, false, false, false]","[""RANDOM"", ""RANDOM"", ""PSP"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""KNN"", ""RANDOM"", ""PAP"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM""]","[0.3460264801979065, 0.33278146386146545, 0.695364236831665, 0.33112582564353943, 0.3526490032672882, 0.3592715263366699, 0.7764900922775269, 0.3460264801979065, 0.809602677822113, 0.36589404940605164, 0.3460264801979065, 0.3360927104949951, 0.3344370722770691, 0.33774834871292114, 0.3294701874256134]","[9, 12, 1, 13, 3, 8, 2, 4, 0, 11, 6, 10, 14, 5, 7]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\core_cache_v2\acm_hard_useful3_seed42_party_preds.pt,6cc21828a72da96ee6d41054c060e412e11d5d7c25af6103d3c45ace5829a8dc,1,Adaptive Complementarity,3.0,11.0,7.0,5.0,2.8666666666666667,2.8666666666666667,0.0
ACM,hard,42,adaptive_graph_val,5,0.8791390657424927,0.8336079120635986,0.834434517113447,0.834434517113447,0.8731465935707092,0.8484349250793457,0,90750,90750,54450,145200,peer_to_peer_topology,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,604,604,active,0.5,0.8336079120635986,0.4336079080899556,0.3690280020236969,0.3146622776985168,0.8204283118247986,none,0.0,0,15,[],-1.0,-1.0,5,90750,54450,407700,5,407700,7564,9.181748000046356,2,2,1,"[[2,3],[2,6],[3,8],[5,14],[6,8]]","[false, false, true, false, false, false, true, false, true, false, false, false, false, false, false]","[""RANDOM"", ""RANDOM"", ""PSP"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""KNN"", ""RANDOM"", ""PAP"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM""]","[0.3460264801979065, 0.33278146386146545, 0.695364236831665, 0.33112582564353943, 0.3526490032672882, 0.3592715263366699, 0.7764900922775269, 0.3460264801979065, 0.809602677822113, 0.36589404940605164, 0.3460264801979065, 0.3360927104949951, 0.3344370722770691, 0.33774834871292114, 0.3294701874256134]","[9, 12, 1, 13, 3, 8, 2, 4, 0, 11, 6, 10, 14, 5, 7]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\core_cache_v2\acm_hard_useful3_seed42_party_preds.pt,6cc21828a72da96ee6d41054c060e412e11d5d7c25af6103d3c45ace5829a8dc,1,TA-DVFG,11.0,4.0,3.0,2.0,1.6666666666666667,1.6666666666666667,0.0
ACM,hard,43,topk_reliability_vote,5,0.9288079738616944,0.8863261938095093,0.886485081636233,0.886485081636233,0.9011532068252563,0.8929159641265869,0,0,0,45375,45375,global_diagnostic,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,604,604,active,0.5,0.8863261938095093,0.4207578261693319,0.3805601298809051,0.2981878221035003,0.8418451547622681,none,0.0,0,15,[],-1.0,-1.0,0,0,45375,0,0,0,0,0.0,0,0,0,[],"[false, false, false, false, false, false, false, true, false, false, false, true, true, false, false]","[""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""PSP"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""PAP"", ""KNN"", ""RANDOM"", ""RANDOM""]","[0.3526490032672882, 0.3013245165348053, 0.34437087178230286, 0.34271523356437683, 0.3576158881187439, 0.34271523356437683, 0.33112582564353943, 0.6821191906929016, 0.3245033025741577, 0.36589404940605164, 0.30463576316833496, 0.8675496578216553, 0.8907284736633301, 0.32781457901000977, 0.3460264801979065]","[8, 4, 9, 13, 6, 3, 12, 1, 14, 11, 7, 0, 2, 10, 5]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\core_cache_v2\acm_hard_useful3_seed43_party_preds.pt,a32bccdb8fd6963f187be3505d94a56efc0619c5de973270db2f8e1f07e55fb8,1,Global Top-k,15.0,1.0,0.0,,1.0,1.0,0.0
ACM,hard,43,full_mesh,5,0.8708609342575073,0.8253706693649292,0.8265413047626279,0.8265413047626279,0.8369027972221375,0.827018141746521,0,1905750,1905750,136125,2041875,peer_to_peer_topology,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,604,604,active,0.5,0.8253706693649292,0.437451950709025,0.3871499300003052,0.304777592420578,0.8500823974609375,none,0.0,0,15,[],-1.0,-1.0,105,1905750,136125,0,105,0,0,0.0,3,36,66,"[[0,1],[0,2],[0,3],[0,4],[0,5],[0,6],[0,7],[0,8],[0,9],[0,10],[0,11],[0,12],[0,13],[0,14],[1,2],[1,3],[1,4],[1,5],[1,6],[1,7],[1,8],[1,9],[1,10],[1,11],[1,12],[1,13],[1,14],[2,3],[2,4],[2,5],[2,6],[2,7],[2,8],[2,9],[2,10],[2,11],[2,12],[2,13],[2,14],[3,4],[3,5],[3,6],[3,7],[3,8],[3,9],[3,10],[3,11],[3,12],[3,13],[3,14],[4,5],[4,6],[4,7],[4,8],[4,9],[4,10],[4,11],[4,12],[4,13],[4,14],[5,6],[5,7],[5,8],[5,9],[5,10],[5,11],[5,12],[5,13],[5,14],[6,7],[6,8],[6,9],[6,10],[6,11],[6,12],[6,13],[6,14],[7,8],[7,9],[7,10],[7,11],[7,12],[7,13],[7,14],[8,9],[8,10],[8,11],[8,12],[8,13],[8,14],[9,10],[9,11],[9,12],[9,13],[9,14],[10,11],[10,12],[10,13],[10,14],[11,12],[11,13],[11,14],[12,13],[12,14],[13,14]]","[false, false, false, false, false, false, false, true, false, false, false, true, true, false, false]","[""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""PSP"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""PAP"", ""KNN"", ""RANDOM"", ""RANDOM""]","[0.3526490032672882, 0.3013245165348053, 0.34437087178230286, 0.34271523356437683, 0.3576158881187439, 0.34271523356437683, 0.33112582564353943, 0.6821191906929016, 0.3245033025741577, 0.36589404940605164, 0.30463576316833496, 0.8675496578216553, 0.8907284736633301, 0.32781457901000977, 0.3460264801979065]","[8, 4, 9, 13, 6, 3, 12, 1, 14, 11, 7, 0, 2, 10, 5]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\core_cache_v2\acm_hard_useful3_seed43_party_preds.pt,a32bccdb8fd6963f187be3505d94a56efc0619c5de973270db2f8e1f07e55fb8,1,Full Mesh,1.0,15.0,15.0,1.0,15.0,15.0,0.0
ACM,hard,43,adaptive_pair,5,0.8774834275245667,0.8220757842063904,0.8236857920771601,0.8236857920771601,0.8385502696037292,0.8303130269050598,0,254100,254100,136125,390225,peer_to_peer_topology,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,604,604,active,0.5,0.8220757842063904,0.4369028011957804,0.3789126873016357,0.304777592420578,0.8632619380950928,none,0.0,0,15,[],-1.0,-1.0,14,254100,136125,407700,14,407700,0,0.6195755999942776,3,0,11,"[[0,9],[0,14],[1,10],[2,5],[2,13],[3,6],[3,8],[4,9],[4,13],[5,14],[6,8],[7,11],[7,12],[11,12]]","[false, false, false, false, false, false, false, true, false, false, false, true, true, false, false]","[""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""PSP"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""PAP"", ""KNN"", ""RANDOM"", ""RANDOM""]","[0.3526490032672882, 0.3013245165348053, 0.34437087178230286, 0.34271523356437683, 0.3576158881187439, 0.34271523356437683, 0.33112582564353943, 0.6821191906929016, 0.3245033025741577, 0.36589404940605164, 0.30463576316833496, 0.8675496578216553, 0.8907284736633301, 0.32781457901000977, 0.3460264801979065]","[8, 4, 9, 13, 6, 3, 12, 1, 14, 11, 7, 0, 2, 10, 5]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\core_cache_v2\acm_hard_useful3_seed43_party_preds.pt,a32bccdb8fd6963f187be3505d94a56efc0619c5de973270db2f8e1f07e55fb8,1,Adaptive Pairwise,4.0,7.0,3.75,3.0,2.8666666666666667,2.8666666666666667,0.0
ACM,hard,43,adaptive_complementarity,5,0.8725165724754333,0.8319604396820068,0.8335504963161261,0.8335504963161261,0.8451400399208069,0.8303130269050598,0,254100,254100,127050,381150,peer_to_peer_topology,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,604,604,active,0.5,0.8319604396820068,0.4371224621931712,0.390444815158844,0.2948929071426391,0.859967052936554,none,0.0,0,15,[],-1.0,-1.0,14,254100,127050,407700,14,407700,0,0.6230278999719303,3,0,11,"[[0,9],[0,14],[2,5],[2,13],[3,6],[3,10],[4,8],[4,13],[5,14],[6,10],[7,11],[7,12],[8,9],[11,12]]","[false, false, false, false, false, false, false, true, false, false, false, true, true, false, false]","[""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""PSP"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""PAP"", ""KNN"", ""RANDOM"", ""RANDOM""]","[0.3526490032672882, 0.3013245165348053, 0.34437087178230286, 0.34271523356437683, 0.3576158881187439, 0.34271523356437683, 0.33112582564353943, 0.6821191906929016, 0.3245033025741577, 0.36589404940605164, 0.30463576316833496, 0.8675496578216553, 0.8907284736633301, 0.32781457901000977, 0.3460264801979065]","[8, 4, 9, 13, 6, 3, 12, 1, 14, 11, 7, 0, 2, 10, 5]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\core_cache_v2\acm_hard_useful3_seed43_party_preds.pt,a32bccdb8fd6963f187be3505d94a56efc0619c5de973270db2f8e1f07e55fb8,1,Adaptive Complementarity,4.0,8.0,4.666666666666667,4.0,2.8666666666666667,2.8666666666666667,0.0
ACM,hard,43,adaptive_graph_val,5,0.9337748289108276,0.8863261938095093,0.8865876638872683,0.8865876638872683,0.9011532068252563,0.8896210789680481,0,90750,90750,63525,154275,peer_to_peer_topology,all_supervised,supervised,shared_val,all_parties,0,True,all_parties_supervised_simulation,all_parties,all_parties,all_parties_supervised,shared,1.0,604,604,active,0.5,0.8863261938095093,0.438660079240799,0.3789126873016357,0.3146622776985168,0.8632619380950928,none,0.0,0,15,[],-1.0,-1.0,5,90750,63525,407700,5,407700,7667,10.795398899979771,2,2,1,"[[5,6],[7,11],[7,12],[8,12],[9,11]]","[false, false, false, false, false, false, false, true, false, false, false, true, true, false, false]","[""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""PSP"", ""RANDOM"", ""RANDOM"", ""RANDOM"", ""PAP"", ""KNN"", ""RANDOM"", ""RANDOM""]","[0.3526490032672882, 0.3013245165348053, 0.34437087178230286, 0.34271523356437683, 0.3576158881187439, 0.34271523356437683, 0.33112582564353943, 0.6821191906929016, 0.3245033025741577, 0.36589404940605164, 0.30463576316833496, 0.8675496578216553, 0.8907284736633301, 0.32781457901000977, 0.3460264801979065]","[8, 4, 9, 13, 6, 3, 12, 1, 14, 11, 7, 0, 2, 10, 5]",C:\Users\Yin Kuan\OneDrive\桌面\Durham_CS\Research\TA-DVFG\results\core_cache_v2\acm_hard_useful3_seed43_party_preds.pt,a32bccdb8fd6963f187be3505d94a56efc0619c5de973270db2f8e1f07e55fb8,1,TA-DVFG,10.0,5.0,3.5,4.0,1.6666666666666667,1.6666666666666667,0.0
